OBJECTID,src_SA1_MAIN16,nbr_SA1_MAIN16,src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH,NODE_COUNT
37509,21305146535,21305146548,2146535,2146548,0.002299724584061,0
37510,21305146536,21305146538,2146536,2146538,0.002452547774571,0
37511,21305146537,21305146544,2146537,2146544,0.001013880829763,0
37512,21305146538,21305146543,2146538,2146543,0.002163183789067,0
37513,21305146539,21305146540,2146539,2146540,0.005079776781478,0
37514,21305146539,21305146548,2146539,2146548,0.003909248820234,0
37515,21305146540,21305146544,2146540,2146544,0.001143891341975,0
37516,21305146540,21305146548,2146540,2146548,0.000000000000000,1
37517,21305146541,21305146545,2146541,2146545,0.006966021550137,0
37518,21305146543,21305146548,2146543,2146548,0.004380353513989,0
37519,21305146547,21305146622,2146547,2146622,0.003300251311668,0
37520,21305146547,21305146623,2146547,2146623,0.000508073487267,0
37521,21305146601,21305146603,2146601,2146603,0.002810508220784,0
37522,21305146601,21305146604,2146601,2146604,0.000603398840112,0
37523,21305146601,21305146616,2146601,2146616,0.002007274062523,0
37524,21305146601,21305146617,2146601,2146617,0.003639387674203,0
37525,21305146601,21305146619,2146601,2146619,0.006360469193339,0
37526,21305146601,21305146621,2146601,2146621,0.000000000000000,1
37527,21305146601,21305146624,2146601,2146624,0.001446864085838,0
37528,21305146601,21305146625,2146601,2146625,0.004667787783556,0
37529,21305146602,21305146605,2146602,2146605,0.005379507540360,0
37530,21305146602,21305146608,2146602,2146608,0.002597008669484,0
37531,21305146602,21305146609,2146602,2146609,0.003177249088882,0
37532,21305146602,21305146610,2146602,2146610,0.008043089256489,0
37533,21305146603,21305146606,2146603,2146606,0.011078421097633,0
37534,21305146603,21305146614,2146603,2146614,0.002163003993989,0
37535,21305146603,21305146618,2146603,2146618,0.000000000000000,1
37536,21305146603,21305146619,2146603,2146619,0.002238439608451,0
37537,21305146603,21305146620,2146603,2146620,0.006762012561095,0
37538,21305146603,21305146621,2146603,2146621,0.003349001109979,0
37539,21305146603,21305146625,2146603,2146625,0.000000000000000,1
37540,21305146604,21305146607,2146604,2146607,0.002468754923625,0
37541,21305146604,21305146613,2146604,2146613,0.008421561987134,0
37542,21305146604,21305146615,2146604,2146615,0.000000000000000,1
37543,21305146604,21305146617,2146604,2146617,0.004347622125867,0
37544,21305146604,21305146619,2146604,2146619,0.000907821344759,0
37545,21305146604,21305146626,2146604,2146626,0.001735297706009,0
37546,21305146605,21305146609,2146605,2146609,0.005369384022780,0
37547,21305146605,21305146611,2146605,2146611,0.002340270794875,0
37548,21305146606,21305146610,2146606,2146610,0.010034012493234,0
37549,21305146606,21305146614,2146606,2146614,0.007030043315469,0
37550,21305146606,21305146621,2146606,2146621,0.008771613331045,0
37551,21305146607,21305146608,2146607,2146608,0.005417839291301,0
37552,21305146607,21305146612,2146607,2146612,0.005357807534703,0
37553,21305146607,21305146613,2146607,2146613,0.000000000000000,1
37554,21305146607,21305146615,2146607,2146615,0.003418177568941,0
37555,21305146608,21305146609,2146608,2146609,0.003155467960531,0
37556,21305146608,21305146610,2146608,2146610,0.002702642315185,0
37557,21305146608,21305146611,2146608,2146611,0.002732389329119,0
37558,21305146608,21305146612,2146608,2146612,0.003291682979998,0
37559,21305146608,21305146618,2146608,2146618,0.000769897342809,0
37560,21305146609,21305146611,2146609,2146611,0.006583735428166,0
37561,21305146610,21305146614,2146610,2146614,0.003130165092354,0
37562,21305146610,21305146618,2146610,2146618,0.003055334085087,0
37563,21305146612,21305146615,2146612,2146615,0.004712920795222,0
37564,21305146612,21305146618,2146612,2146618,0.004601629012517,0
37565,21305146613,21305146615,2146613,2146615,0.002809314326883,0
37566,21305146613,21305146619,2146613,2146619,0.002453050424670,0
37567,21305146613,21305146626,2146613,2146626,0.004740317291914,0
37568,21305146614,21305146618,2146614,2146618,0.006753477396853,0
37569,21305146614,21305146620,2146614,2146620,0.000000000000000,1
37570,21305146615,21305146618,2146615,2146618,0.002126680084844,0
37571,21305146615,21305146619,2146615,2146619,0.003664831174928,0
37572,21305146616,21305146623,2146616,2146623,0.002537536927078,0
37573,21305146616,21305146624,2146616,2146624,0.005662316946697,0
37574,21305146616,21305146625,2146616,2146625,0.006010670068243,0
37575,21305146617,21305146622,2146617,2146622,0.002380174060078,0
37576,21305146617,21305146624,2146617,2146624,0.001342429619625,0
37577,21305146618,21305146619,2146618,2146619,0.000961144992144,0
37578,21305146618,21305146620,2146618,2146620,0.003010288092614,0
37579,21305146619,21305146620,2146619,2146620,0.007116580135704,0
37580,21305146619,21305146626,2146619,2146626,0.010261333558159,0
37581,21305146621,21305146625,2146621,2146625,0.008758862747158,0
37582,21305146622,21305146623,2146622,2146623,0.003192416514112,0
37583,21305146622,21305146624,2146622,2146624,0.004866189947383,0
37584,21305146623,21305146624,2146623,2146624,0.003419306204779,0
37585,21305146623,21305146625,2146623,2146625,0.002624144009259,0
37586,21305146701,21305146711,2146701,2146711,0.005475311887091,0
37587,21305146701,21305146715,2146701,2146715,0.005460964025021,0
37588,21305146701,21305146735,2146701,2146735,0.001603988266304,0
37589,21305146701,21305146736,2146701,2146736,0.001605779372678,0
37590,21305146701,21305146737,2146701,2146737,0.000000000000000,1
37591,21305146701,21305146744,2146701,2146744,0.003098310616925,0
37592,21305146701,21305146747,2146701,2146747,0.000550766686508,0
37593,21305146702,21305146715,2146702,2146715,0.006073789536042,0
37594,21305146702,21305146724,2146702,2146724,0.000775216185138,0
37595,21305146702,21305146735,2146702,2146735,0.002985624585598,0
37596,21305146702,21305146738,2146702,2146738,0.007273707231908,0
37597,21305146703,21305146704,2146703,2146704,0.002347860892832,0
37598,21305146703,21305146706,2146703,2146706,0.005947509917871,0
37599,21305146703,21305146712,2146703,2146712,0.001166292620158,0
37600,21305146703,21305146717,2146703,2146717,0.001311527499525,0
37601,21305146703,21305146718,2146703,2146718,0.001743239387664,0
37602,21305146703,21305146720,2146703,2146720,0.000000000000000,1
37603,21305146703,21305146741,2146703,2146741,0.002111615877239,0
37604,21305146703,21305146742,2146703,2146742,0.001556008812519,0
37605,21305146703,21305146748,2146703,2146748,0.007143214789033,0
37606,21305146704,21305146706,2146704,2146706,0.002296327253177,0
37607,21305146704,21305146717,2146704,2146717,0.000000000000000,1
37608,21305146704,21305146720,2146704,2146720,0.004046585825590,0
37609,21305146704,21305146728,2146704,2146728,0.001150868932614,0
37610,21305146704,21305146730,2146704,2146730,0.003728745139055,0
37611,21305146704,21305146743,2146704,2146743,0.002843031883622,0
37612,21305146705,21305146709,2146705,2146709,0.004532538135268,0
37613,21305146705,21305146714,2146705,2146714,0.005286545068253,0
37614,21305146705,21305146733,2146705,2146733,0.002210080151947,0
37615,21305146705,21305146739,2146705,2146739,0.001641504403772,0
37616,21305146705,21305146745,2146705,2146745,0.001097136327695,0
37617,21305146705,21305146746,2146705,2146746,0.003384891784791,0
37618,21305146706,21305146713,2146706,2146713,0.002072878013302,0
37619,21305146706,21305146728,2146706,2146728,0.005428096626959,0
37620,21305146706,21305146734,2146706,2146734,0.002016300061240,0
37621,21305146706,21305146742,2146706,2146742,0.003556921061519,0
