src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH
2100307,2100339,0.009247429757003
2100307,2100344,0.0011537980021110001
2100308,2100339,0.0110214977082
2100308,2100349,0.010357904188502
2100308,2100409,0.0053564146457730005
2100309,2100310,0.0
2100309,2100312,0.013512591389204999
2100309,2100333,0.017109341279493
2100309,2100340,0.003237950773315
2100309,2100341,7.665018201999999e-05
2100309,2100344,0.003227690733628
2100309,2100351,0.015279689987803997
2100309,2100414,0.009226622300628
2100309,2100451,0.008891129941186
2100310,2100333,0.001998074472532
2100310,2100343,0.010695839103558001
2100310,2100344,0.00829970590715
2100310,2100350,0.00359897673542
2100311,2100312,0.025041171647296002
2100311,2100337,0.055216495470319996
2100311,2100342,0.040537032311416
2100311,2100347,0.038090649025121
2100311,2101007,0.1255037919515
2100311,2101017,0.018800488696647
2100311,2101210,0.080745894730336
2100312,2100333,0.0032849472171780003
2100312,2100342,0.008636505204916
2100312,2100451,0.02150452300975
2100312,2101207,0.04265430704865
2100312,2101208,0.032750855806792004
2100312,2101210,0.013135960334978998
2100313,2100314,0.0
2100313,2100315,0.00646384072023
2100313,2100327,0.0009410050805469999
2100313,2100336,0.00925895672844
2100313,2100337,0.005046536090776
2100313,2100347,0.005797160434551999
2100314,2100315,0.010918355923090999
2100314,2100316,0.009896797250759001
2100314,2100334,0.0
2100314,2100336,0.007627131532495
2100314,2100808,0.0076301485765
2100315,2100336,0.0
2100315,2100337,0.006744284663446999
2100315,2100345,0.012713644471180001
2100315,2100808,0.003386941022751
2100316,2100321,0.0017202166830089997
2100316,2100323,0.006643231806851999
2100316,2100334,0.0029008787929
2100316,2100335,0.004232119245893
2100316,2100336,0.0
2100316,2100808,0.007763956472233001
2100317,2100327,0.007969579934415999
2100317,2100328,0.00779056850008
2100317,2100329,0.002909260802277
2100317,2100334,0.0028621880759530003
2100317,2100335,0.0
2100318,2100320,0.006028559265485
2100318,2100321,0.005168821066733
2100318,2100322,0.0
2100318,2100331,0.0
2100318,2100332,0.004382608293511
2100318,2100335,0.0052566790602370005
2100319,2100320,0.0
2100319,2100322,0.00798736605991
2100319,2100324,0.006619890248413
2100319,2100325,0.006904911901891999
2100319,2100326,0.0007291170279269998
2100319,2100343,0.0
2100320,2100322,0.004511320411306
2100320,2100324,0.005127914237544001
2100320,2100328,0.0036334512195949995
2100320,2100332,0.0
2100320,2100335,4.7373436841e-05
2100321,2100323,0.00578910625528
2100321,2100331,0.004439120278663
2100321,2100332,0.0
2100321,2100335,0.0027011328758479998
2100322,2100324,0.0
2100322,2100330,0.002508876124375
2100322,2100332,0.004588391149769
2100323,2100331,0.003600109349075
2100323,2100808,0.0
2100324,2100325,0.005729950411122
