src_SA2_MAIN16,nbr_SA2_MAIN16,LENGTH
115031299,102011030,0.4483619721
115031299,115021297,0.3663531559
115031299,115031300,0.5999934607
115031299,124011451,0.626996274
115031300,115021297,0.2044139232
115031300,115031299,0.5999934607
115031300,115041301,0.1076932057
115031300,124011451,0.2309985818
115031300,124041466,0.3397996166
115031300,124041467,0.0203234626
115031300,124041468,0.0517499877
115041301,115021297,0.1879517426
115041301,115031300,0.1076932057
115041301,115041302,0.0765337118
115041301,116021312,0.0709475992
115041301,124041467,0.074335083
115041302,115011294,0.0024055386
115041302,115021297,0.127998729
115041302,115041301,0.0765337118
115041302,116021310,0.0161240122
115041302,116021312,0.0623804478
116011303,116011304,0.0382643629
116011303,116011307,0.0623699754
116011303,116011308,0.0116699742
116011303,116021309,0.0008541717
116011304,116011303,0.0382643629
116011304,116011306,0.0371838215
116011304,116021312,0
116011304,116031314,0.0133100274
116011306,116011304,0.0371838215
116011306,116031314,0.035450635
116011306,116031318,0.0169291108
116011306,116031319,0.0550108225
116011307,115011291,0.0162149518
116011307,116011303,0.0623699754
116011307,116011308,0.0258845262
116011307,116021309,0.0390862816
116011307,125041493,0.0289757681
116011307,125041494,0.0228380659
116011308,116011303,0.0116699742
116011308,116011307,0.0258845262
116011308,116031318,0.0331946717
116011308,125031482,0.0133544519
116011308,125041493,0.0107563638
116021309,115011291,0.0263574674
116021309,116011303,0.0008541717
116021309,116011307,0.0390862816
116021309,116021310,0.0206246298
116021310,115041302,0.0161240122
116021310,116021309,0.0206246298
116021310,116021312,0.0421082837
116021312,115041301,0.0709475992
116021312,115041302,0.0623804478
116021312,116011304,0
116021312,116021310,0.0421082837
116021312,116031313,0.012124505
116021312,116031314,0.0246194481
116021312,116031315,0.0206382559
116021312,116031316,0.0549102275
116021312,124031458,0.0396976509
116021312,124041467,0.0568522796
116021312,124041468,0.0475538772
116031313,116021312,0.012124505
116031313,116031315,0.0325974538
116031313,116031316,0.034758205
116031313,116031317,0.0291833733
116031314,116011304,0.0133100274
116031314,116011306,0.035450635
116031314,116021312,0.0246194481
116031314,116031315,0.0291633188
116031314,116031319,0.0092808844
116031315,116021312,0.0206382559
116031315,116031313,0.0325974538
116031315,116031314,0.0291633188
116031315,116031317,0.0053657769
116031315,116031319,0.015832706
116031316,116021312,0.0549102275
116031316,116031313,0.034758205
116031316,116031317,0.0133470207
116031316,124031458,0.0288667526
116031317,116031313,0.0291833733
116031317,116031315,0.0053657769
116031317,116031316,0.0133470207
116031317,116031319,0.0571453574
116031318,116011306,0.0169291108
116031318,116011308,0.0331946717
116031318,116031319,0.0703068751
116031318,124051469,0.0469052171
116031318,125031482,0.0244868218
116031318,127021518,0.081255469
116031318,127021521,0.0461947926
116031319,116011306,0.0550108225
116031319,116031314,0.0092808844
116031319,116031315,0.015832706
116031319,116031317,0.0571453574
116031319,116031318,0.0703068751
117011320,117011321,0.026651609
117011320,117011323,0.0303533817
117011320,117011324,0.010468478
117011320,118021350,0.002209645
117011321,117011320,0.026651609
117011321,117011322,0.014247164
117011321,117011323,0.0067973383
117011322,117011321,0.014247164
117011322,117011323,0.0314124874
117011322,117021328,0.0091378559
117011322,117031330,0.0161562835
117011322,117031338,0.0180232048
117011323,117011320,0.0303533817
117011323,117011321,0.0067973383
117011323,117011322,0.0314124874
117011323,118021350,0.0086922035
117011324,117011320,0.010468478
117011324,118021350,0.0414018361
117021326,117021327,0.0305176459
117021326,117021328,0.0288548503
117021326,117031332,0.004303547
117021326,119021364,0.0326731874
117021326,119041375,0.0004615254
117021326,120031394,0.0243935556
117021327,117021326,0.0305176459
117021327,117031332,0.0225316542
117021327,120021388,0.0248893365
117021327,120031394,0.0160454192
117021328,117011322,0.0091378559
117021328,117021326,0.0288548503
117021328,117031330,0.0189013866
117021328,117031332,0.0066432114
117021328,119041375,0.0114102764
117031329,117031333,0.0180399809
117031329,117031336,0.0123378124
117031329,117031337,0.003146952
117031329,118011345,0.0158079753
117031330,117011322,0.0161562835
117031330,117021328,0.0189013866
117031330,117031332,0.0148713481
117031330,117031335,0.0209155726
117031330,117031338,0.036499939
117031331,117031332,0.0186483065
117031331,117031334,0.0124868719
117031331,117031335,0
117031331,120021388,0.0153036889
117031332,117021326,0.004303547
117031332,117021327,0.0225316542
117031332,117021328,0.0066432114
117031332,117031330,0.0148713481
117031332,117031331,0.0186483065
117031332,117031334,0
117031332,117031335,0.0291143488
117031332,120021388,0.0031054368
117031333,117031329,0.0180399809
117031333,117031337,0.0139787684
117031333,118011343,0.0035425338
117031333,118011345,0.0001673632
117031334,117031331,0.0124868719
117031334,117031332,0
117031334,117031335,0.0081011737
117031334,117031337,0.0183826071
117031335,117031330,0.0209155726
117031335,117031331,0
117031335,117031332,0.0291143488
117031335,117031334,0.0081011737
117031335,117031336,0.0214442921
117031335,117031337,0.0066096993
117031335,117031338,0.0171803454
117031335,118011345,0.00571925
117031336,117031329,0.0123378124
117031336,117031335,0.0214442921
117031336,117031337,0.0109726308
117031336,118011345,0.0073809535
117031337,117031329,0.003146952
117031337,117031333,0.0139787684
117031337,117031334,0.0183826071
117031337,117031335,0.0066096993
117031337,117031336,0.0109726308
117031338,117011322,0.0180232048
117031338,117031330,0.036499939
117031338,117031335,0.0171803454
117031338,118011345,0.006379669
118011339,118011340,0.0174908834
118011339,118011341,0.0283219928
118011339,118011343,0.0030823446
118011339,118021348,0.0131795462
118011340,118011339,0.0174908834
118011340,118011343,0.0067726828
118011340,118011344,0.0209165002
118011340,118011346,0.0068228259
118011341,118011339,0.0283219928
118011341,118011343,0.0035595827
118011341,118011347,0.0167840857
118011341,118021348,0.0057104888
118011343,117031333,0.0035425338
118011343,118011339,0.0030823446
118011343,118011340,0.0067726828
118011343,118011341,0.0035595827
118011343,118011345,0.0133266356
118011343,118011346,0.018315237
118011343,118011347,0.0312176765
118011344,118011340,0.0209165002
118011344,118011346,0.0303465147
118011345,117031329,0.0158079753
118011345,117031333,0.0001673632
118011345,117031335,0.00571925
118011345,117031336,0.0073809535
118011345,117031338,0.006379669
118011345,118011343,0.0133266356
118011345,118011347,0.0132867331
118011346,118011340,0.0068228259
118011346,118011343,0.018315237
118011346,118011344,0.0303465147
118011347,118011341,0.0167840857
118011347,118011343,0.0312176765
118011347,118011345,0.0132867331
118021348,118011339,0.0131795462
118021348,118011341,0.0057104888
118021350,117011320,0.002209645
118021350,117011323,0.0086922035
118021350,117011324,0.0414018361
119011354,119011356,0.0346667281
119011354,119011361,0.0206083455
119011354,125031479,0.0449182689
119011354,125031480,0.0150646355
119011354,127021511,0.0339061953
119011354,127021513,0.0002858366
119011354,127031523,0.005984826
119011355,119011357,0.0384860538
119011355,119011361,0.0355472257
119011356,119011354,0.0346667281
