Origin,Destination,Time (min)
124021456,124031465,209.67
124031457,124031458,13.6
124031457,124031462,12.5
124031457,124031464,8.55
124031458,116021312,19.93
124031458,116031316,14.52
124031458,124011454,32.8
124031458,124031457,14.07
124031458,124031459,14.7
124031458,124031464,9.48
124031458,124041468,10.2
124031459,124011450,9.82
124031459,124011454,21.92
124031459,124021456,330.38
124031459,124031458,14.7
124031459,124031460,14.22
124031459,124031461,11.57
124031459,124031463,17.52
124031459,124031464,10.13
124031460,124031459,16.35
124031460,124031461,12.68
124031460,124031463,11.85
124031461,124031459,11.48
124031461,124031460,11.48
124031461,124031462,10.97
124031461,124031463,14.0
124031461,124031464,9.18
124031462,124031457,12.22
124031462,124031461,10.83
124031462,124031463,15.88
124031462,124031464,11.52
124031463,124021456,228.3
124031463,124031459,18.07
124031463,124031460,13.22
124031463,124031461,14.42
124031463,124031462,17.4
124031463,124031465,20.87
124031463,124051469,18.3
124031463,124051470,17.32
124031463,127011505,18.6
124031463,127021518,21.48
124031464,124031457,8.17
124031464,124031458,9.55
124031464,124031459,9.9
124031464,124031461,9.45
124031464,124031462,12.73
124031465,123031448,24.5
124031465,124021456,210.58
124031465,124031463,21.22
124031465,127011505,28.68
124041466,115031300,14.52
124041466,124041467,14.42
124041466,124041468,12.52
124041467,115031300,25.03
124041467,115041301,20.67
124041467,116021312,16.03
124041467,124041466,14.82
124041467,124041468,16.08
124041468,115031300,22.6
124041468,116021312,17.93
124041468,124011451,104.97
124041468,124011454,29.92
124041468,124031458,9.65
124041468,124041466,13.12
124041468,124041467,16.23
124051469,116031318,14.5
124051469,124031463,19.23
124051469,124051470,6.2
124051469,127021518,14.88
124051470,124031463,16.68
124051470,124051469,5.08
125011473,120011384,9.35
125011473,120031396,7.97
125011473,125021477,9.22
125011473,125041492,8.9
125021476,115011296,8.55
125021476,125021478,5.68
125021476,125041489,9.0
125021476,125041490,9.02
125021476,126011495,8.23
125021476,126011496,12.78
125021476,126021497,9.9
125021477,125011473,6.82
125021477,125021478,5.67
125021477,125041489,9.13
125021477,125041492,8.42
125021477,126021497,9.7
125021477,126021503,7.33
125021478,125021476,5.97
125021478,125021477,5.1
125021478,125041489,7.0
125021478,126021497,9.7
125031479,119011354,6.62
125031479,119011361,8.78
125031479,125031480,6.03
125031479,125031483,4.53
125031480,119011354,9.83
125031480,125031479,7.13
125031480,125031483,8.22
125031480,125031484,11.48
125031480,125031487,7.13
125031480,127021513,8.47
125031480,127021515,6.9
125031481,125031483,6.88
125031481,125031485,8.37
125031481,125041492,7.8
125031482,116011308,7.73
125031482,116031318,14.52
125031482,125031484,9.55
125031482,125031485,10.28
125031482,125031486,7.92
125031482,127021519,7.95
125031482,127021521,9.47
125031483,125031479,5.57
125031483,125031480,8.65
125031483,125031481,6.53
125031483,125031484,8.8
125031484,125031480,11.08
125031484,125031482,9.42
125031484,125031483,8.88
125031484,125031485,5.78
125031484,125031486,6.9
125031484,125031487,5.85
125031485,125031481,8.37
125031485,125031482,10.52
125031485,125031484,5.9
125031485,125041492,7.97
125031486,125031482,8.13
125031486,125031484,7.4
125031486,125031487,8.92
125031486,127021515,10.1
125031486,127021519,6.95
125031487,125031480,6.6
125031487,125031484,6.12
125031487,125031486,8.95
125031487,127021515,7.27
125041489,125021476,9.25
125041489,125021477,8.15
125041489,125021478,6.97
125041489,125041490,8.62
125041489,125041491,5.5
125041489,125041492,6.87
125041490,115011290,11.9
125041490,115011296,10.53
125041490,125021476,8.75
125041490,125041489,8.12
125041490,125041491,7.78
125041491,115011290,8.68
125041491,125041489,4.95
125041491,125041490,7.67
125041491,125041492,8.23
125041491,125041493,5.53
125041491,125041494,6.98
125041492,125011473,9.17
125041492,125021477,8.5
125041492,125031481,7.67
125041492,125031485,8.53
125041492,125041489,6.72
125041492,125041491,8.85
125041493,116011307,8.65
125041493,116011308,8.93
125041493,125041491,5.55
125041493,125041494,6.88
125041494,115011290,9.2
125041494,115011291,12.3
125041494,116011307,12.28
125041494,125041491,6.85
125041494,125041493,6.53
126011495,121031411,21.48
126011495,125021476,7.58
126011495,126011496,8.3
126011495,126021497,5.73
126011495,126021500,9.53
126011496,115011296,10.68
126011496,121021406,11.42
126011496,121031411,21.43
126011496,121031412,18.0
126011496,125021476,11.38
126011496,126011495,7.05
126021497,125021476,10.13
126021497,125021477,9.18
126021497,125021478,10.05
126021497,126011495,5.87
126021497,126021500,10.05
126021497,126021503,6.33
126021498,126021499,7.75
126021498,126021501,9.15
126021499,126021498,7.17
126021499,126021501,12.32
126021500,121031407,15.28
126021500,121031408,15.82
126021500,121031409,11.23
126021500,121031411,19.7
126021500,126011495,6.33
126021500,126021497,9.32
126021500,126021501,7.52
126021501,121011399,10.77
126021501,121031408,14.33
126021501,126021498,10.07
126021501,126021499,12.57
126021501,126021500,7.85
126021503,125021477,7.25
126021503,126021497,6.52
127011504,127021509,7.45
127011504,127021512,7.85
127011505,123031448,41.73
127011505,124031463,19.77
127011505,124031465,29.28
127011505,127011506,11.57
127011505,127021510,29.1
127011505,127021518,26.05
127011506,123011433,16.28
127011506,123011434,13.75
127011506,123011435,17.52
127011506,123021438,19.88
127011506,123021440,21.58
127011506,123031448,33.93
127011506,127011505,11.18
127021509,127011504,7.83
127021509,127021510,9.72
127021509,127021512,9.8
127021509,127021514,7.43
127021509,127021520,9.05
127021510,127011505,28.67
127021510,127021509,9.72
127021510,127021514,5.12
127021510,127021517,6.3
127021510,127021518,14.4
127021510,127021519,11.33
127021510,127021521,10.68
127021511,119011354,10.03
127021511,127021512,8.82
127021511,127021513,7.23
127021511,127031523,11.15
127021512,127011504,8.02
127021512,127021509,8.97
127021512,127021511,9.15
127021512,127021513,9.17
127021512,127021520,7.63
127021513,119011354,13.52
127021513,125031480,9.03
127021513,127021511,6.78
127021513,127021512,9.12
127021513,127021515,4.33
127021513,127021516,4.92
127021513,127021520,8.48
127021514,127021509,7.38
127021514,127021510,4.88
127021514,127021517,6.75
127021515,125031480,7.6
127021515,125031486,10.07
127021515,125031487,7.52
127021515,127021513,4.85
127021515,127021516,5.27
127021515,127021519,8.93
127021516,127021513,5.27
127021516,127021515,4.98
127021516,127021517,7.6
127021516,127021519,4.4
127021516,127021520,7.9
127021517,127021510,6.57
127021517,127021514,6.85
127021517,127021516,7.2
127021517,127021519,6.8
127021517,127021520,4.97
127021518,116031318,13.43
127021518,124031463,21.92
127021518,124051469,15.02
127021518,127011505,25.77
127021518,127021510,15.15
127021518,127021521,16.65
127021519,125031482,8.53
127021519,125031486,6.37
127021519,127021510,11.07
127021519,127021515,8.52
127021519,127021516,4.1
127021519,127021517,6.82
127021519,127021521,6.87
127021520,127021509,9.43
127021520,127021512,7.58
127021520,127021513,8.18
127021520,127021516,8.27
127021520,127021517,5.17
127021521,116031318,10.87
127021521,125031482,9.52
127021521,127021510,10.98
127021521,127021518,17.2
127021521,127021519,7.23
127031522,123021440,12.3
127031522,123021442,11.87
127031522,127031524,18.87
127031523,119011354,12.43
127031523,119011356,9.37
127031523,119011359,13.87
127031523,127021511,9.0
127031523,127031524,17.97
127031524,119011359,19.68
127031524,123021440,19.68
127031524,123021441,27.13
127031524,123021442,12.02
127031524,127031522,17.9
127031524,127031523,17.78
127031524,128021535,25.57
128011529,128011530,7.72
128011529,128011531,12.53
128011529,128021536,13.3
128011529,128021537,19.28
128011529,128021538,7.77
128011530,128011529,7.6
