SA1_7DIGITCODE_2016,SA2_MAINCODE_2016
1104845,102021048
1104846,102021048
1104847,102021048
1104901,102021049
1104902,102021049
1104903,102021049
1104904,102021049
1104905,102021049
1104906,102021049
1104907,102021049
1104908,102021049
1104910,102021049
1105001,102021050
1105002,102021050
1105003,102021050
1105004,102021050
1105005,102021050
1105006,102021050
1105007,102021050
1105008,102021050
1105009,102021050
1105010,102021050
1105015,102021050
1105016,102021050
1105017,102021050
1105018,102021050
1105019,102021050
1105020,102021050
1105021,102021050
1105022,102021050
1105101,102021051
1105102,102021051
1105103,102021051
1105104,102021051
1105106,102021051
1105107,102021051
1105108,102021051
1105109,102021051
1105110,102021051
1105111,102021051
1105112,102021051
1105113,102021051
1105114,102021051
1105115,102021051
1105116,102021051
1105301,102021053
1105302,102021053
1105303,102021053
1105304,102021053
1105305,102021053
1105306,102021053
1105307,102021053
1105308,102021053
1105309,102021053
1105310,102021053
1105311,102021053
1105312,102021053
1105313,102021053
1105314,102021053
1105315,102021053
1105316,102021053
1105317,102021053
1105318,102021053
1105319,102021053
1105320,102021053
1105321,102021053
1105322,102021053
1105323,102021053
1105324,102021053
1105325,102021053
1105326,102021053
1105327,102021053
1105328,102021053
1105329,102021053
1105330,102021053
1105331,102021053
1105332,102021053
1105333,102021053
1105334,102021053
1105335,102021053
1105336,102021053
1105337,102021053
1105401,102021054
1105402,102021054
1105403,102021054
1105404,102021054
1105405,102021054
1105406,102021054
1105407,102021054
1105408,102021054
1105409,102021054
1105410,102021054
1105411,102021054
1105412,102021054
1105413,102021054
1105414,102021054
1105417,102021054
1105418,102021054
1105419,102021054
1105420,102021054
1105421,102021054
1105422,102021054
1105423,102021054
1105424,102021054
1105501,102021055
1105502,102021055
1105503,102021055
1105504,102021055
1105505,102021055
1105506,102021055
1105507,102021055
1105508,102021055
1105509,102021055
1105510,102021055
1105511,102021055
1105512,102021055
1105513,102021055
1105514,102021055
1105601,102021056
1105602,102021056
1105603,102021056
1105604,102021056
1105605,102021056
1105606,102021056
1105607,102021056
1105608,102021056
1105609,102021056
1105612,102021056
1105613,102021056
1105614,102021056
1105615,102021056
1105616,102021056
1105617,102021056
1105618,102021056
1105620,102021056
1105622,102021056
1105623,102021056
