Origin,Destination,Time (min)
2100512,2100708,8.541666666666666
2100512,2101203,20.759999999999998
2100512,2101501,16.678333333333335
2100513,2100515,9.305
2100513,2100517,13.379999999999999
2100514,2101207,11.663333333333332
2100515,2100517,4.676666666666667
2100601,2100612,2.315
2100601,2100613,3.3766666666666665
2100601,2100614,4.448333333333333
2100602,2100603,1.9866666666666668
2100602,2100604,1.85
2100602,2100610,4.361666666666666
2100602,2100611,2.0783333333333336
2100602,2100613,2.9483333333333333
2100602,2100614,5.593333333333334
2100603,2100604,3.295
2100603,2100605,4.506666666666666
2100603,2100610,4.535
2100604,2100605,6.105
2100604,2100614,5.411666666666666
2100605,2100606,5.77
2100605,2100607,9.995000000000001
2100605,2100610,6.378333333333333
2100605,2100614,7.5233333333333325
2100606,2100607,5.801666666666667
2100606,2100608,11.889999999999999
2100606,2100703,2.8116666666666665
2100606,2100709,4.5
2100607,2100703,6.04
2100607,2100705,9.305
2100607,2100706,6.591666666666667
2100608,2100708,13.493333333333334
2100608,2100709,12.448333333333332
2100610,2100611,4.816666666666666
2100611,2100612,2.0116666666666667
2100611,2100613,2.06
2100612,2100613,2.69
2100613,2100614,4.03
2100701,2100702,7.531666666666666
2100701,2100703,7.13
2100701,2100707,5.826666666666667
2100701,2100708,4.913333333333333
2100701,2100709,10.868333333333334
2100701,2101501,13.445
2100702,2100703,6.45
2100702,2100709,8.221666666666668
2100703,2100706,4.498333333333333
2100703,2100707,8.958333333333334
2100703,2100709,5.8516666666666675
2100703,2101503,4.77
2100704,2100705,7.66
2100704,2101503,8.656666666666666
2100705,2100706,9.928333333333335
2100705,2101408,10.891666666666667
2100705,2101409,21.121666666666666
2100705,2101503,11.528333333333334
2100706,2101503,6.6
2100707,2101501,21.265
2100707,2101503,9.766666666666667
2100707,2101511,19.625
2100708,2100709,14.645000000000001
2100708,2101501,12.186666666666667
2100801,2100804,2.4616666666666664
2100801,2100806,4.8
2100801,2100832,2.7116666666666664
2100804,2100806,4.746666666666667
2100804,2100832,2.783333333333333
2100805,2100806,3.6483333333333334
2100805,2100807,2.853333333333333
2100805,2100815,3.2849999999999997
