"SA1_id","vote_pc"
"1135433",".694825"
"1104426",".531368"
"1128309",".477584"
"1151809",".629613"
"1147706",".565439"
"1123923",".569316"
"1134314",".283189"
"1109127",".475544"
"1128204",".485327"
"1140208",".374639"
"1104603",".599489"
"1103243",".491762"
"1133309",".632638"
"1134304",".307263"
"1137638",".580138"
"1140343",".389285"
"1141037",".263801"
"1110413",".301128"
"1121221",".590803"
"1150929",".601403"
"1130238",".303155"
"1117533",".332433"
"1114801",".626152"
"1138807",".667143"
"1147036",".591988"
"1145323",".618896"
"1111804",".650949"
"1103812",".481644"
"1114304",".699974"
"1150005",".394750"
"1111134",".687258"
"1133207",".643714"
"1117006",".384861"
"1151536",".702269"
"1124929",".529228"
"1125326",".519194"
"1112623",".625768"
"1132319",".593905"
"1116814",".375541"
"1149243",".617774"
"1150129",".394540"
"1150043",".406109"
"1114619",".605315"
"1153406",".375475"
"1143148",".344627"
"1151710",".667400"
"1104019",".508781"
"1133535",".677843"
"1113134",".703699"
"1114612",".629269"
"1100136",".435130"
"1125614",".308023"
"1146224",".546527"
"1122302",".654225"
"1109806",".633185"
"1140606",".399818"
"1100202",".388340"
"1105804",".418144"
"1114503",".627780"
"1135204",".577624"
"1105850",".393610"
"1136836",".528290"
"1105324",".548695"
"1117515",".314706"
"1102306",".513255"
"1117030",".365928"
"1116714",".350434"
"1131627",".725604"
"1131031",".551700"
"1139523",".681153"
"1146804",".500586"
"1148031",".748578"
"1153534",".400048"
"1149218",".621339"
"1105002",".620632"
"1106705",".327141"
"1136541",".704071"
"1140505",".346503"
"1132112",".606427"
"1116226",".347692"
"1123642",".507285"
"1133347",".316202"
"1135363",".726157"
"1149424",".335904"
"1126114",".498010"
"1151022",".698880"
"1125554",".504635"
"1114012",".490397"
"1116603",".345035"
"1147232",".720766"
"1117523",".314228"
"1101230",".559211"
"1100144",".426975"
"1117904",".215565"
"1133830",".656177"
"1107127",".446246"
"1127921",".496808"
"1137243",".462112"
"1129707",".319479"
"1100309",".518104"
"1153501",".380866"
"1148839",".628954"
"1140503",".394386"
"1138804",".676812"
"1101139",".563005"
"1112211",".651418"
"1106805",".306789"
"1136622",".710570"
"1113424",".629307"
"1133624",".633011"
"1110403",".289067"
"1113043",".645207"
"1102013",".541309"
"1117612",".337006"
"1128107",".499675"
"1111728",".669743"
"1124928",".648424"
"1133106",".659799"
"1151215",".610071"
"1147627",".371256"
"1102611",".481910"
"1125412",".493118"
"1137456",".335098"
"1130329",".611949"
"1143645",".604422"
"1151517",".689500"
"1113630",".651384"
"1107904",".311776"
"1137010",".550037"
"1103608",".528310"
"1128308",".484325"
"1124113",".463911"
"1147727",".559396"
"1129816",".307703"
"1124407",".459262"
"1153137",".336182"
"1114949",".633119"
"1117410",".332092"
"1130216",".302288"
"1136329",".700526"
"1149730",".386982"
"1147752",".408792"
"1152842",".338000"
"1139045",".686260"
"1135040",".604720"
"1112409",".377806"
"1108025",".467535"
"1103309",".464488"
"1129735",".299993"
"1111231",".574105"
"1145432",".534292"
"1124911",".489287"
"1125215",".504254"
"1139148",".441544"
"1125913",".286806"
"1132641",".619962"
"1130905",".568764"
"1145805",".523221"
"1106212",".317969"
"1124922",".497942"
"1112525",".553361"
"1120913",".607261"
"1126807",".349576"
"1128805",".515258"
"1150311",".409590"
"1153316",".403397"
"1152446",".435922"
"1125721",".321559"
"1143622",".628144"
"1147270",".704502"
"1132217",".604126"
"1144414",".606498"
"1130916",".566961"
"1119802",".268704"
"1133737",".617227"
"1129623",".335728"
"1100134",".421215"
"1127108",".320019"
"1113123",".688540"
"1135332",".708962"
"1112304",".432342"
"1145408",".599034"
"1147723",".556927"
"1112113",".485480"
"1114308",".640095"
"1111221",".586466"
"1135209",".561651"
"1112108",".497633"
"1105016",".561582"
"1120011",".299440"
"1139530",".691308"
"1139427",".680291"
"1122013",".600379"
"1144341",".618264"
"1136613",".702324"
"1150022",".418148"
"1114930",".623142"
"1132225",".609169"
"1143807",".601536"
"1148313",".712627"
"1147635",".325999"
"1130404",".692972"
"1147450",".701898"
"1151514",".711637"
"1114902",".617807"
"1121842",".551492"
"1144513",".380547"
"1112628",".651459"
"1149133",".323066"
"1105208",".599479"
"1130555",".614600"
"1144114",".616687"
"1143209",".313551"
"1136546",".711075"
"1133934",".323770"
"1128426",".524630"
"1132326",".595221"
"1114528",".635030"
"1124717",".450604"
"1133527",".653356"
"1140622",".385034"
"1141214",".285839"
"1149724",".399791"
"1144419",".607418"
"1144036",".599220"
"1146624",".423788"
"1138326",".433853"
"1104035",".517706"
"1134509",".334352"
"1129355",".320408"
"1137619",".562698"
"1129228",".288855"
"1118018",".318184"
"1145036",".589133"
"1123419",".651137"
"1106414",".347748"
"1136318",".669029"
"1103102",".475815"
"1145836",".515887"
"1148220",".600440"
"1139731",".426722"
"1104201",".510917"
"1146403",".505328"
"1146432",".515764"
"1144224",".601135"
"1140513",".416382"
"1143708",".626085"
"1117204",".325435"
"1136712",".675200"
"1124722",".427162"
"1106504",".305182"
"1146132",".528054"
"1129512",".308590"
