,Origin,Destination,Time (min),Distance
98,1100811,1101003,9.055,1.0874638773606806
99,1100812,1100813,3.19,0.4204905734761148
100,1100812,1101002,17.74,0.8765495669089937
101,1100813,1100812,3.24,0.42049057347611485
102,1100813,1100814,4.026666667,0.4395839036267186
103,1100813,1101002,16.02166667,0.8550816857017713
104,1100814,1100801,1.838333333,0.328637430420895
105,1100814,1100802,4.265,0.7329903591223069
106,1100814,1100813,3.775,0.4395839036267186
107,1100814,1101002,15.39333333,1.0330054935322537
108,1100815,1100807,3.233333333,0.36215141864173744
109,1100815,1100808,2.776666667,0.4444255014305141
110,1100815,1100816,3.531666667,0.39071865211819473
111,1100815,1100916,1.718333333,0.4480902950612011
112,1100816,1100803,3.05,0.4465189040518469
113,1100816,1100808,2.7433333330000003,0.6158294770395653
114,1100816,1100815,2.986666667,0.39071865211819473
115,1100816,1100817,2.696666667,0.46234137635762107
116,1100816,1100818,4.725,0.4816818006071279
117,1100816,1100915,2.9483333330000003,0.5213463046989021
118,1100817,1100811,3.22,0.42393176673052657
119,1100817,1100816,2.61,0.46234137635762107
120,1100817,1100818,1.743333333,0.2951169505357086
121,1100817,1100913,3.405,0.5036367156890912
122,1100817,1100914,3.021666667,0.5668052454717807
123,1100818,1100802,2.643333333,0.5004532518447847
124,1100818,1100804,2.376666667,0.37783310899277395
125,1100818,1100811,2.36,0.48749923340081486
126,1100818,1100816,3.43,0.4816818006071279
127,1100818,1100817,1.735,0.2951169505357086
128,1100819,1100801,2.418333333,0.44417629948510157
129,1100819,1100820,1.838333333,0.44736187904227387
130,1100819,1100821,3.32,0.37270554907271564
131,1100820,1100801,1.241666667,0.34776086428875047
132,1100820,1100802,2.486666667,0.5908703650966308
133,1100820,1100804,2.906666667,0.5109104270481194
134,1100820,1100805,1.655,0.5955760470015788
135,1100820,1100806,1.908333333,0.5351662892603866
136,1100820,1100819,1.74,0.44736187904227387
137,1100820,1100821,1.4816666669999998,0.40000504928117997
138,1100821,1100806,2.7833333330000003,0.3866458430168417
139,1100821,1100819,3.221666667,0.37270554907271564
140,1100821,1100820,1.4816666669999998,0.40000504928117997
141,1100821,1100822,2.7833333330000003,0.31847119973969096
142,1100822,1100806,1.6533333330000002,0.4555051540566981
143,1100822,1100810,2.501666667,0.34229931517352913
144,1100822,1100821,3.05,0.31847119973969096
145,1100823,1100805,1.645,0.4579717350990607
146,1100823,1100806,2.753333333,0.4944381670654478
147,1100823,1100808,2.4283333330000003,0.3785880784075515
148,1100823,1100810,2.871666667,0.40598141752900213
